Indema-vendor-template CSV
vendor-smaple-template,,,,,,,,,,,,,,
Company Name,Company Website,Company Address,Rep Name,Rep Email,Rep Phone Number,Vendor Number,Vendor Status,Skype,LinkedIn,Twitter,Fcebook,GST Number,Shipping Address,Note
Addison Weeks,https://addisonweeks.com/,"2222 Hawkins St, Charlotte NC 28203",Annie ,Annie@addisonweeks.com,704-749-2110,,active,,,,,,,
Alder & Tweed Furniture Company,http://www.alderandtweedfurniture.com/,, ,,,,active,,,,,,,
Alexis Walter Art,https://www.facebook.com/alexiswalterart/,"1024 Octavia Street, New Orleans LA 70115", ,art@alexiswalterart.com,504-568-0316,,active,,,,,,,
Amazon,,,,,,,active,,,,,,,
Anthropologie,http://www.anthropologie.com/,,Joshua Welch ,service@anthropologie.com,(800) 309-2500,,active,,,,,,,
Arteriors,,,Jeffrey Chiapetti,jchiapetti@arteriorshome.com,972.488.9800 X:135,,active,,,,,,,
Ashley Rose Marino,,"2613 Country Grove Trail, Mansfield TX 76063",Ashley Marino ,ashley@lesleymyrick.com,,,active,,,,,,,
Barnes & Noble Booksellers,,,,,,,active,,,,,,,
Bassett Furniture,http://dealersite.bassettfurniture.com,"3525 Fairystone Park Hwy, Bassett VA. 24055",Erin  Brown,ekbrown@bassettfurniture.com,843-327-0555,,active,,,,,,,
Build.com Inc.,https://www.build.com/,"402 Otterson Drive Suite 100, Chico CA 95928",Andy Jones ,andy.jones@build.com,(530) 961-4318,,active,,,,,,,
Bungalow 5,,"1201 Oak Lawn Avenue, Suite 180, Dallas TX 75207", ,info@bungalow5.com,(201) 405-1800,,active,,,,,,,
Business of Design,,,,,,,active,,,,,,,
CB2,,,,,,,active,,,,,,,
CDI Furniture,https://www.cdifurniture.com/,"5950 Cote de Liesse, Mont-Royal, QC H4T 1E2", ,,514.428.5888,,active,,,,,,,
Chase Biz Visa,,,,,,,active,,,,,,,
Circa Lighting,http://www.circalighting.com/,,Alison  Scofield ,ascofield@circalighting.com,(912) 662-7901,#032243,active,,,,,,,
Cisco Brothers,http://www.ciscobrothers.com/,,Lorena Ashby,lorena@ciscobrothers.com,323.778.8612 x.510,,active,,,,,,,
CLE TILE,https://www.cletile.com,,Caroline ,caroline@cletile.com,(415) 887-9011,,active,,,,,,,
Cooper Classics,https://cooperclassics.com/,"115 Cooper Classics Ln, Rocky Mount VA 24151",D'Anna Gibson,sales@cooperclassics.com,540.483.5774,,active,,,,,,,
Cost Plus World Market,,,,email@email.com,,,active,,,,,,,
Crate&Barrel,,,,,,,active,,,,,,,
Curated Kravet,,, ,,,,active,,,,,,,
Designer Inc,https://www.designerinc.com/,, ,,,,active,,,,,,,
Direct Deposit,,,,,,,active,,,,,,,
Dovetail,http://www.dovetailfurnitureonline.com/,, ,,,,active,,,,,,,
Dropbox,,,,,,,active,,,,,,,
Eastern Accents,https://www.easternaccents.com/10_Logon.asp?action=logon,,Dorann Prachyl,dorannprachyl@sbcglobal.net,972-878-4290,TXL202,active,,,,,,,
EQ3,,,,,,,active,,,,,,,
Etsy,,,,,,,active,,,,,,,
Eventbrite,,,,,,,active,,,,,,,
Facebook,,,,,,,active,,,,,,,
"Ferguson Enterprises, Inc.",http://www.shop.ferguson.com,,,,,,active,,,,,,,
Five Star Painting,,,Cindy Praesel,cpraesel@fivestarpainting.com,254-716-5135,,active,,,,,,,
Four Hands,http://marketplace.fourhands.com/,,Erin Prince,eprince@fourhands.com,"P: (512) 600-3819, C: 512-698-7596",,active,,,,,,,
Freight Club,https://www.freightclub.com/,,Gillian Dew ,gillian.d@freightclub.com,866.740.9830 ext. 692,,active,,,,,,,
FSI HCSC Health Insurance,,,,,,,active,,,,,,,
FSI Hiscox Insurance,,,,,,,active,,,,,,,
Gabby,http://gabbyhome.com/,,Brooke Crow,BrookeC@gabbyhome.com,214-217-0022,,active,,,,,,,
GJ Styles,https://gjstyles.com/,"212 N. Main St, High Point, NC 27260", ,,,,active,,,,,,,
Global Views,https://www.globalviews.com/accounts/new,, ,,,,active,,,,,,,
Go Home,http://www.gohomeltd.com,,Pamela McClain,pamelam@gohomeltd.com,718.445.4022 x 124,,active,,,,,,,
Google,,,,,,,active,,,,,,,
GotPrint,,,,,,,active,,,,,,,
Half Price Drapes,http://www.halfpricedrapes.com,, ,customerservice@halfpricedrapes.com,,,active,,,,,,,
High Fashion Home,https://www.highfashionhome.com/,,Elizabeth Guerrero,support@highfashionhome.com,(888) 685-3838,,active,,,,,,,
Hobby Lobby,,,,,,,active,,,,,,,
Home Depot,http://www.homedepot.com/,,,,,,active,,,,,,,
Hooker Furniture,https://www.hookerfurniture.com/,, ,,,,active,,,,,,,
House of Antique Hardware,http://houseofantiquehardware.com,"802 NE Davis Street, Portland OR 97232", ,email@email.com,(888) 223-2545,,active,,,,,,,
Hudson Valley Lighting Group,,,,,,,active,,,,,,,
Hygge & West,,,,,,,active,,,,,,,
Ikea,,,,,,,active,,,,,,,
Independent Bank,,,,,,,active,,,,,,,
Independent Bank Checking Account,,,,,,,active,,,,,,,
Independent Bank Savings Account,,,,,,,active,,,,,,,
Industry West,,"1538 Hendricks Avenue, Suite 2, Jacksonville FL 32207",,commercialorder@industrywest.com,(888) 991-9028,,active,,,,,,,
Interior Define,https://www.interiordefine.com/,"11701 Domain Blvd, #180, Austin, TX 78758",Jen  Schwendener,jen@interiordefine.com,(323) 831-3649,,active,,,,,,,
Ivy,http://www.ivymark.com,,Lauren Dorame,lauren@ivy.co,,,active,,,,,,,
Jaipur Living,https://www.jaipurliving.com/index.aspx,"10 Autumn Oaks Drive, The Hills TX 78738",Susan Whitworth,susanwhitworth@gmail.com,"C: 512-656-8649, O: 512-261-1113",1012545,active,,,,,,,
Jaxon Home,https://jaxonhome.com/pages/to-the-trade-furniture-at-jaxon-home,,Lisa Boyle ,lisa@jaxonhome.com,,,active,,,,,,,
